"Name","Runtime","Sweep","batch_size","dropout","embed_dim","gamma","head_dim","hidden_layer_depth","lr","mlp_head_hidden_layers_depth","mlp_head_number_hidden_layers","num_encoder_layers","num_heads","number_hidden_layers","optimizer","patch_size","scheduler","weight_decay","Train Accuracy","Train Loss","Train Per Class Accuracy","Validation Accuracy","Validation Loss","Validation Per Class Accuracy"
"toasty-sweep-17","1494","3q67boix","128","0.25","32","0.9","16","1024","0.0003643957120943963","1024","","4","10","","AdamW","2","ExponentialLR","0.1","0.658","1.8015775954761444","0.6581116723139085","0.6176","1.8424025260949437","0.6167335314314951"
"dutiful-sweep-12","392","ict3dqbx","256","0","64","0.8860442811691417","16","128","0.0011931635614962296","256","","4","8","","AdamW","4","ExponentialLR","0.1","0.680075","1.7811668374735838","0.6801608131360823","0.6086","1.8476164162158968","0.6082170280312693"
"olive-sweep-22","1928","3q67boix","256","0","32","0.9","16","1024","0.0008065577219352957","1024","","4","7","","AdamW","2","ExponentialLR","0.1","0.661525","1.7989600251434714","0.6616760866431417","0.6043","1.8545942723751068","0.6031813226039057"
"gallant-sweep-1","1626","ict3dqbx","256","0","32","0.8900715266364048","64","1024","0.00034757486859171295","1024","","4","6","","AdamW","2","ExponentialLR","0","0.6397","1.8201289374357577","0.6398569096621984","0.5965","1.866570857167244","0.5960411825839433"
"deep-sweep-23","1082","3q67boix","256","0.25","32","0.9","32","256","0.0007834805147914252","256","","3","10","","AdamW","2","ExponentialLR","0.01","0.6482","1.810764371969138","0.6482932104246563","0.5942","1.8663332730531692","0.5936986137191739"
"elated-sweep-1","1634","9olwgerb","128","0.25","32","0.9","32","256","0.0006408441287781779","1024","","5","7","","AdamW","2","ExponentialLR","0","0.6312","1.8272570466842897","0.6312767205442171","0.5905","1.867333926732027","0.5900006191291999"
"hearty-sweep-38","997","3q67boix","128","0.25","32","0.9","64","512","0.0005226948652856316","256","","2","10","","AdamW","2","ExponentialLR","0.0001","0.64435","1.8147295382076176","0.6444716975725235","0.5863","1.8729806459402736","0.5848419669731267"
"scarlet-sweep-21","1355","3q67boix","128","0.25","32","0.9","64","512","0.0010388385814143956","512","","4","7","","AdamW","2","ExponentialLR","0.1","0.625875","1.833801326279442","0.6259337730305631","0.5802","1.8776781709888313","0.5805762773582679"
"fallen-sweep-32","1406","ict3dqbx","128","0.5","32","0.8481145469625573","32","512","0.00026984010069440207","256","","5","7","","AdamW","2","ExponentialLR","0.01","0.60115","1.8574021342463387","0.6012658155224964","0.5775","1.88263753697842","0.5768605425052087"
"mild-sweep-33","539","ict3dqbx","128","0","32","0.9274558507387825","64","256","0.0004866591677184304","256","","3","10","","AdamW","4","ExponentialLR","0.01","0.664975","1.795102465266999","0.6651017272051144","0.5759","1.8825970359995392","0.5757512195538561"
"sweet-sweep-1","566","lc79qu93","128","0","32","0.9","16","512","0.0007405322046526623","256","","4","7","","AdamW","4","ExponentialLR","0.0001","0.65025","1.809697591839507","0.6503537523383807","0.5684","1.8892670024799396","0.5683221446952993"
"rose-sweep-39","1346","3q67boix","256","0.5","32","0.9","32","512","0.00028755088102064004","256","","5","7","","AdamW","2","ExponentialLR","0.01","0.592425","1.865918057739355","0.5925278840786421","0.5667","1.890652146935463","0.5658941241718367"
"dutiful-sweep-20","452","3q67boix","128","0.25","32","0.9","32","256","0.00042217417602633857","256","","3","6","","AdamW","4","ExponentialLR","0.1","0.595075","1.865458284323208","0.5952107112569112","0.5604","1.8977657269827928","0.5602331991521508"
"helpful-sweep-30","1571","3q67boix","128","0","32","0.9","64","1024","0.00013978380805680448","512","","5","6","","AdamW","2","ExponentialLR","0.001","0.6138","1.8451651224313073","0.6139078393993789","0.5591","1.899547124210792","0.5591955625015368"
"vocal-sweep-29","1242","3q67boix","256","0.75","32","0.9","64","512","0.0005393685526485907","1024","","3","9","","AdamW","2","ExponentialLR","0.001","0.581625","1.8765982845026976","0.5817013228070121","0.558","1.9066196113824845","0.5582683976537086"
"misunderstood-sweep-13","363","3q67boix","256","0","32","0.9","64","256","0.0003321677051119152","256","","3","6","","AdamW","4","ExponentialLR","0.1","0.621425","1.8395958280867073","0.6215290677781125","0.5579","1.902853932976723","0.5574353882799655"
"clear-sweep-34","955","3q67boix","256","0","32","0.9","64","512","0.0014728748491397436","256","","2","10","","AdamW","2","ExponentialLR","0","0.6014","1.8578580731798888","0.6015715643902575","0.5453","1.9150007307529449","0.5440098486814177"
"wise-sweep-11","369","3q67boix","256","0","32","0.9","64","256","0.0001530572195182098","512","","3","8","","AdamW","4","ExponentialLR","0.01","0.6133","1.848199050137951","0.6134110173850338","0.5448","1.9140217572450635","0.5449132529818694"
"rosy-sweep-4","407","3q67boix","128","0","32","0.9","32","1024","0.00013561269888471975","256","","2","7","","AdamW","4","ExponentialLR","0.001","0.59345","1.866585474044751","0.5935217529409115","0.5437","1.9141217289091663","0.5430340270559477"
"genial-sweep-24","406","3q67boix","256","0.5","32","0.9","16","512","0.0002642388107143469","256","","4","9","","AdamW","4","ExponentialLR","0.1","0.576825","1.8822893709134143","0.5769230435017269","0.5427","1.9109770894050595","0.5425251809267412"
"generous-sweep-27","440","3q67boix","256","0.75","32","0.9","64","512","0.0003619686338022004","256","","4","8","","AdamW","4","ExponentialLR","0.1","0.566525","1.8929781913757324","0.5667086060711386","0.5421","1.919248968362808","0.5407860710830088"
"effortless-sweep-1","449","3q67boix","128","0","32","0.9","64","256","0.00018000635144350586","256","","2","9","","AdamW","4","ExponentialLR","0.1","0.6015","1.8607646760087424","0.6016244362497278","0.5402","1.917462606973286","0.5400951038235876"
"deep-sweep-37","921","3q67boix","256","0","32","0.9","32","128","0.0020860200289149903","256","","4","6","","AdamW","2","ExponentialLR","0.0001","0.540975","1.9185827066943903","0.5410453350679383","0.5287","1.9371890664100648","0.5272450465452777"
"magic-sweep-15","600","3q67boix","128","0.25","32","0.9","64","512","0.0008697861757839015","512","","5","7","","AdamW","4","ExponentialLR","0.1","0.5785","1.881926664148276","0.5783867456749883","0.5277","1.9322928944720497","0.5275177843517439"
"rural-sweep-19","419","3q67boix","128","0.75","32","0.9","64","512","0.00015649397333781495","1024","","2","8","","AdamW","4","ExponentialLR","0.001","0.559775","1.8986371264290125","0.5599052389617813","0.5196","1.936323890203162","0.5188146701847032"
"northern-sweep-10","357","3q67boix","256","0.25","32","0.9","64","256","0.00020266118522369592","256","","3","6","","AdamW","4","ExponentialLR","0.001","0.575975","1.8843720976714116","0.5761105623116948","0.5188","1.938623195886612","0.5185136435067249"
"fluent-sweep-40","328","3q67boix","256","0.25","32","0.9","32","128","0.0003319705722149076","1024","","1","7","","AdamW","4","ExponentialLR","0","0.54685","1.9130027810479424","0.5469074961599102","0.5167","1.9422672390937803","0.5166646190613179"
"smart-sweep-12","1225","3q67boix","256","0.5","32","0.9","16","128","0.001965220622565573","256","","4","10","","AdamW","2","ExponentialLR","0.01","0.533325","1.9260494185101455","0.5334038570969473","0.5149","1.949837777018547","0.5151950571861176"
"pretty-sweep-16","1168","3q67boix","128","0.75","32","0.9","16","128","0.0001154661557796294","512","","5","7","","AdamW","2","ExponentialLR","0.01","0.5045","1.953590196923326","0.5045773694305693","0.499","1.9580956259860267","0.4982491938586137"
"sweepy-sweep-35","400","ict3dqbx","128","0.25","16","0.9676017890190204","64","128","0.0015734840844892103","64","","3","4","","AdamW","4","ExponentialLR","0.001","0.516175","1.941435530162848","0.516333824528334","0.4981","1.959294882001756","0.4974261781273418"
"vital-sweep-33","636","3q67boix","128","0.75","32","0.9","16","128","0.001070030234165211","512","","4","10","","AdamW","4","ExponentialLR","0.0001","0.4909","1.969332454303583","0.49102656323744726","0.4839","1.975514746919463","0.48307919701284296"
"wandering-sweep-5","10161","ict3dqbx","256","0","16","0.8328757877670308","128","1024","0.0002969513546313168","64","","3","10","","AdamW","2","ExponentialLR","0.001","0.514475","1.943524217150014","0.5143288492918601","0.4811","1.979067835211754","0.4814758434141023"
